hotel_name,location,rating,review_score,num_reviews,room_score,room_type,bed_type,price_bdt,price_eur,source
Bansaeo Garden and Resort,Chiang Saen,8.8,Excellent,62,9.2,Deluxe Double Room with Bath,1 queen bed,129390.0,1078.25,Booking.com
Elixir Koh Yao Yai - SHA Plus,Ko Yao Yai,8.8,Excellent,242,8.9,Superior Villa,1 full bed,168386.0,1403.22,Booking.com
Momento Resort,Pattaya South,7.1,Good,807,,Double Room with Private Bathroom,1 king bed,42052.0,350.43,Booking.com
Sun Inn,Songkhla,8.4,Very Good,137,8.9,Standard Queen Room,1 queen bed,48393.0,403.28,Booking.com
The Patong Center Hotel-SHA Certified,Patong Beach,7.3,Good,110,,Deluxe Double Room,1 full bed,49110.0,409.25,Booking.com
The Chanthong Residence and Hotel Pattaya,Pattaya,8.3,Very Good,40,8.4,Standard Double Bed Room with Street View,1 king bed,41806.0,348.38,Booking.com
Koh Phaluai Beach Bangalow,Ban Ko Nok Taphao,9.1,Wonderful,36,8.3,Bungalow with Garden View,1 full bed,92190.0,768.25,Booking.com
Krabi River Hotel,Krabi,8.5,Very Good,359,8.5,Twin Room with Sea View,2 twin beds,63469.0,528.91,Booking.com
Atlantis Condo Resort jomtien,Jomtien Beach,6.6,Review score,80,,Standard Apartment,"2 beds (1 king, 1 sofa bed)",70938.0,591.15,Booking.com
Baan Chaylay Resort Karon,Karon Beach,7.9,Good,165,8.1,Standard Double Room,1 king bed,40296.0,335.8,Booking.com
Cocoo-n Beach Hotel,Patong Beach,6.1,Review score,33,,Standard King Room,1 king bed,28071.0,233.92,Booking.com
Chom Suan Homestay,"Klong Chao Beach, Ko Kood",7.0,Good,13,,Deluxe Double Room,1 full bed,64695.0,539.12,Booking.com
Hotel Scarlett,Ban Ba Ngan,9.1,Wonderful,39,9.6,Superior Double Room,1 king bed,80869.0,673.91,Booking.com
Phranang Place- SHA Extra,Ao Nang Beach,8.2,Very Good,305,8.4,Superior Double Room,1 double or 2 twins,66543.0,554.52,Booking.com
Tropical Garden Bungalow,Phi Phi Islands,6.8,Review score,339,,Fan Bungalow Twin Bed,2 twin beds,52403.0,436.69,Booking.com
Easy Life Bungalows,Haad Yao,7.2,Good,52,,Superior Bungalow,1 full bed,35582.0,296.52,Booking.com
White Orchid Inn II,"Khlong Toei, Bangkok",5.2,Review score,82,,Superior Double Room,1 full bed,40758.0,339.65,Booking.com
Rawai Whale Resort,Rawai Beach,8.1,Very Good,41,8.2,King Studio,1 queen bed,50277.0,418.98,Booking.com
NN Apartment,Pattaya South,8.6,Excellent,175,9.0,Deluxe Double Room,1 king bed,37847.0,315.39,Booking.com
7 Days Premium Hotel Pattaya,"Pattaya Walking Street, Pattaya South",7.4,Good,497,,Deluxe Double or Twin Room with City View,1 double or 2 twins,69172.0,576.43,Booking.com
Grand Mansion Hotel,Krabi,7.5,Good,26,8.0,Standard Double or Twin Room with Air Conditioning,1 double or 2 twins,36876.0,307.3,Booking.com
VX The Fifty,"Khlong Toei, Bangkok",7.5,Good,243,,Bed in 4-Bed Dormitory Room,1 full bed,27107.0,225.89,Booking.com
"Baan Suan Kayoo 2, ??????????????????? ??????????? ????????",Ko Phayam,8.9,Excellent,52,8.4,Bungalow with Fan,1 queen bed,30116.0,250.97,Booking.com
Phi Phi Sand Sea View Resort,"Tonsai Bay, Phi Phi Islands",7.1,Good,1197,,Standard Double Room (Building),1 queen bed,62107.0,517.56,Booking.com
"Pailin Pool Villa, Hua Hin",Hua Hin,8.8,Excellent,54,9.2,Superior Villa,1 queen bed,199843.0,1665.36,Booking.com
Silver Resortel,Patong Beach,8.1,Very Good,290,8.6,Standard King Room,1 king bed,54159.0,451.32,Booking.com
Veranda Lodge,Hua Hin,7.8,Good,304,8.1,Garden Bungalow,1 king bed,242051.0,2017.09,Booking.com
Golden Nest Hotel Suvarnabhumi,Bangkok,8.0,Very Good,187,8.5,Economy Double Room,1 king bed,83225.0,693.54,Booking.com
JJ Beach Resort & JJ Seafood,"Aow Yai Beach, Ko Phayam",9.1,Wonderful,121,9.0,Deluxe Bungalow,1 queen bed,70240.0,585.33,Booking.com
64House,"Chang Moi, Chiang Mai",8.2,Very Good,81,8.2,Triple Room with Bath,"2 beds (1 twin, 1 queen)",78581.0,654.84,Booking.com
Nam Talay Resort,Pran Buri,8.2,Very Good,115,8.5,Standard Double Room,1 full bed,49445.0,412.04,Booking.com
Baan Suan Rim Klong,"Klong Khong Beach, Ko Lanta",9.0,Wonderful,193,9.1,Superior Double Room,1 king bed,49882.0,415.68,Booking.com
O'nya Phuket Hotel - SHA Extra Plus,Phuket,8.5,Very Good,112,9.1,Superior Double or Twin Room,"3 beds (2 twins, 1 queen)",59650.0,497.08,Booking.com
The Loft Panwa Resort,Panwa Beach,8.8,Excellent,88,8.9,Standard Double or Twin Room with Garden View,Multiple bed types,93327.0,777.72,Booking.com
Sugar Marina Resort - ART - Karon Beach - SHA Plus,Karon Beach,8.2,Very Good,607,8.4,Deluxe Double or Twin Room,Multiple bed types,108659.0,905.49,Booking.com
Park 38 Hotel - SHA Plus,Phuket,7.9,Good,23,,Superior Twin Room,2 twin beds,74238.0,618.65,Booking.com
Erawan House,"Khaosan, Bangkok",7.5,Good,259,,Superior Double Room,1 full bed,67930.0,566.08,Booking.com
Rocco Hua Hin Beach Seaview,Hua Hin,7.5,Good,315,,Studio with Sofa Bed,"2 beds (1 sofa bed, 1 queen)",139738.0,1164.48,Booking.com
Has Pattaya,Pattaya South,8.2,Very Good,94,8.8,Superior Double or Twin Room with City View,1 king bed,110628.0,921.9,Booking.com
Madina Rayong Hotel,Rayong,7.6,Good,5,8.0,Standard Twin Room,2 twin beds,109335.0,911.12,Booking.com
Saisawan Beach Resort,Na Jomtien,7.8,Good,79,8.4,Deluxe Room with City View,1 double or 2 twins,105037.0,875.31,Booking.com
????????????,Ban Don Rak,8.6,Excellent,33,9.0,Double Room with Private Bathroom,1 king bed,35628.0,296.9,Booking.com
Jaroonwej Bangsaen,Bangsaen,5.8,Review score,128,,Standard Apartment,1 king bed,58435.0,486.96,Booking.com
P'Un House,"Sairee Beach, Ko Tao",7.6,Good,127,,Standard Double Room with Air-Conditioning,1 full bed,48554.0,404.62,Booking.com
Srisomthai Hotel,Ubon Ratchathani,7.8,Good,12,8.1,Standard Double Room,1 full bed,32994.0,274.95,Booking.com
Andaman Bay Bungalow,"Klong Khong Beach, Ko Lanta",7.1,Good,72,,Budget Double Room,1 full bed,22643.0,188.69,Booking.com
President Hotel Udonthani,Udon Thani,8.1,Very Good,80,8.4,Deluxe Double Room,1 queen bed,60490.0,504.08,Booking.com
?????????????????,Sangkhla Buri,8.0,Very Good,43,8.4,Double Room,1 king bed,61137.0,509.48,Booking.com
Phalarn Inn Resort,Mae Nam,7.5,Good,179,,Two-Bedroom Cottage,"2 beds (1 full, 1 queen)",116451.0,970.42,Booking.com
Poseidon Bungalows,Khao Lak,7.9,Good,240,,Bungalow with Sea View,"3 beds (1 full, 2 bunk beds)",94886.0,790.72,Booking.com
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,,Double or Twin Room with Bathroom,1 full bed,32347.0,269.56,Booking.com
65 hostel chiangmai,Chiang Mai,6.7,Review score,40,,Double or Twin Room with Bathroom,1 full bed,32347.0,269.56,Booking.com
Diary Suite,Nakhon Pathom,8.5,Very Good,205,8.8,Deluxe Twin Room,2 twin beds,54991.0,458.26,Booking.com
Shanti Lodge Phuket,Chalong,7.8,Good,138,,Double Room with Shared Bathroom,"3 beds (2 twins, 1 queen)",49556.0,412.97,Booking.com
????????????? ? ????????(Once upon a time),"Chiang Khan Walking Street, Chiang Khan",7.5,Good,38,8.0,Double Room with Shared Bathroom,1 king bed,32994.0,274.95,Booking.com
Rasta view Bangalows,Ban Khlong Kloi,7.4,Good,29,,Double Room,1 full bed,29113.0,242.61,Booking.com
Garden Corner Resort & Hotel,Phitsanulok,7.4,Good,157,,Standard King Room,1 king bed,38817.0,323.48,Booking.com
D5 Hotel ???? ?????????,Chon Buri,8.7,Excellent,179,8.8,Deluxe Double Room,1 queen bed,32445.0,270.38,Booking.com
U Hostel Haad Rin,Ko Phangan,8.0,Very Good,84,,Economy Quadruple Room,2 bunk beds,113986.0,949.88,Booking.com
No. 8 Pai,Pai,8.4,Very Good,181,8.6,Standard Double Room with Fan,1 full bed,32347.0,269.56,Booking.com
Norn Talay Surin Beach Phuket,Surin Beach,7.9,Good,714,8.1,Deluxe Double or Twin Room with Sea View,"2 beds (1 sofa bed, 1 queen)",344861.0,2873.84,Booking.com
Oriole Residence - Suvarnabhumi,Ban Khlong Thewa,8.8,Excellent,166,9.2,Standard King Room,1 king bed,90573.0,754.78,Booking.com
?????????????? ???????????? ???? Impact,Thung Si Kan,7.4,Good,68,,Standard Twin Room,2 twin beds,58919.0,490.99,Booking.com
"Holiday Style Ao Nang Beach Resort, Krabi","Nopparat Thara Beach, Ao Nang Beach",8.2,Very Good,1098,8.5,Superior Double or Twin Room with Garden View,1 full bed,102204.0,851.7,Booking.com
Escape Beach Resort - SHA Extra Plus Certified,Mae Nam,8.2,Very Good,1583,8.6,Economy Double Room,1 king bed,119778.0,998.15,Booking.com
VELA Dhi Udon Thani,Udon Thani,8.9,Excellent,269,9.4,Deluxe Twin Room,2 twin beds,145564.0,1213.03,Booking.com
Anahata Resort - SHA Plus,Lipa Noi,8.9,Excellent,339,9.1,Superior Bungalow,1 full bed,178558.0,1487.98,Booking.com
Outrigger Surin Beach Resort - SHA Extra Plus,Surin Beach,9.1,Wonderful,355,9.5,Grand Surin Suite 1 King,1 king bed,548629.0,4571.91,Booking.com
Yao Yai Beach Resort,Ko Yao Yai,8.5,Very Good,364,8.8,Standard Room - No Sea View,1 queen bed,152717.0,1272.64,Booking.com
The Peri Hotel Khao Yai,Phayayen,8.0,Very Good,235,8.4,King Room with Mountain View,1 king bed,197905.0,1649.21,Booking.com
Khao Sok Jungle Huts Resort,Khao Sok National Park,8.2,Very Good,800,8.1,Bungalow with Air-Conditioner,1 full bed,65989.0,549.91,Booking.com
The Sunnery Ville,Lom Kao,8.4,Very Good,118,8.7,King Room with Mountain View,1 king bed,102865.0,857.21,Booking.com
Anana Ecological Resort Krabi-SHA Extra Plus,Ao Nang Beach,8.9,Excellent,1128,9.2,Superior Double or Twin Room,1 king bed,206895.0,1724.12,Booking.com
Hotel Ibis Samui Bophut,Bophut,7.6,Good,1183,8.0,Standard Twin Room,2 twin beds,93885.0,782.38,Booking.com
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,80222.0,668.52,Booking.com
VST Residence -SHA PLUS Certified,Ban Khlong Bang Ping,8.4,Very Good,79,8.8,Superior Twin Room,2 twin beds,80222.0,668.52,Booking.com
Na Siri Lake View,Samut Prakan,7.6,Good,1019,8.0,Apartment with Garden View,2 twin beds,76392.0,636.6,Booking.com
Hivetel,Chalong,7.8,Good,222,8.2,Standard Double Room,1 king bed,84230.0,701.92,Booking.com
Hotel Tide Phuket Beach front - SHA Plus,Phuket,8.4,Very Good,1664,9.0,Deluxe Room,1 queen bed,192737.0,1606.14,Booking.com
Amatara Welleisure Resort - SHA Extra Plus,Panwa Beach,8.6,Excellent,727,8.9,Cape Panwa Suite,1 king bed,510887.0,4257.39,Booking.com
Style Paidoi Resort,Ban Pa Yang (3),9.6,Exceptional,7,9.6,Tent,1 full bed,74780.0,623.17,Booking.com
The Heritage Chiang Rai Hotel and Convention - SHA Extra Plus,Chiang Rai,8.7,Excellent,828,9.1,Deluxe Double Room,1 king bed,109504.0,912.53,Booking.com
Koh Tao Relax Freedom Beach Resort,"Chalok Baan Kao, Ko Tao",9.0,Wonderful,537,9.1,Superior House - Hillside (Free pick up and drop off at Mae Haad Pier),1 king bed,153882.0,1282.35,Booking.com
@T Boutique Hotel,Klong Wan,8.2,Very Good,275,8.4,Family Room,"3 beds (1 full, 2 bunk beds)",238797.0,1989.98,Booking.com
Rayong Marriott Resort & Spa,Klaeng,7.9,Good,340,8.3,Deluxe King Room with Mountain View,"2 beds (1 full, 1 king)",316862.0,2640.52,Booking.com
Tiki Beach Koh Phangan,Ban Tai,8.0,Very Good,532,,Deluxe Bungalow with Garden View,"2 beds (1 twin, 1 full)",166733.0,1389.44,Booking.com
Coconut Beach Bungalows,Chaloklum,9.3,Wonderful,100,9.2,Two-Bedroom Bungalow,2 queen beds,339875.0,2832.29,Booking.com
Venice Krabi Villa Resort- SHA Plus,Ao Nam Mao,8.9,Excellent,345,9.6,Lagoon Grand Deluxe Twin,2 twin beds,203026.0,1691.88,Booking.com
O2 Hotel Lopburi,Lop Buri,7.6,Good,425,8.2,Superior King Room,1 king bed,54991.0,458.26,Booking.com
Hotel Agnes,Buriram,8.8,Excellent,53,9.2,Large Twin Room,Multiple bed types,93161.0,776.34,Booking.com
The Dorm Hostel,Ban Lo Long,8.7,Excellent,90,8.9,Bunk Bed in Mixed Dormitory Room,1 queen bed,40269.0,335.58,Booking.com
Somerset Pattaya - SHA Plus,Pattaya,8.9,Excellent,159,9.3,Deluxe Twin Room,2 twin beds,323004.0,2691.7,Booking.com
Inpawa Hotel,Ban Phai,8.2,Very Good,99,8.6,Superior Double Room,1 queen bed,77634.0,646.95,Booking.com
Chiangkhong Teak Garden Riverfront Onsen Hotel- SHA Extra Plus,Chiang Khong,8.3,Very Good,192,8.7,Resort Garden View,Multiple bed types,87809.0,731.74,Booking.com
Island Escape by Burasari - SHA Extra Plus,Phuket,8.5,Very Good,1388,9.2,Deluxe Room with Schedule Boat Transfer,1 double or 2 twins,318817.0,2656.81,Booking.com
???????????????? ???????? Double D hotel,Pak Kret,8.6,Excellent,43,8.9,Deluxe King Room,1 king bed,86756.0,722.97,Booking.com
"Tawaravadee Resort, BW Signature Collection","304 Industrial Park, Si Maha Phot",8.2,Very Good,96,8.8,Superior Double Room,1 full bed,88520.0,737.67,Booking.com
Lub d Phuket Patong,Patong Beach,8.1,Very Good,893,8.4,Junior Twin Room,2 twin beds,85926.0,716.05,Booking.com
The Waters Khao Lak by Katathani - SHA Extra Plus,"Bang Niang Beach, Khao Lak",8.7,Excellent,358,9.0,Upper Pool Access Room,1 double or 2 twins,157856.0,1315.47,Booking.com
VILLA DEVA RESORT AND HOTEL,"Sathorn, Thung Maha Mek",9.7,Exceptional,9,9.7,Deluxe Twin Pool View,2 twin beds,511090.0,4259.08,Booking.com
Panviman Chiang Mai Spa Resort,Mae Rim,8.7,Excellent,257,8.9,Valley Deluxe Double Room,1 king bed,191486.0,1595.72,Booking.com
Napa Hotel Ratchaburi,Ratchaburi,8.5,Very Good,134,8.8,Superior Twin Room,2 twin beds,78558.0,654.65,Booking.com
Centre Point Hotel Terminal21 Korat,Nakhon Ratchasima,8.9,Excellent,866,9.4,Deluxe King Room 2 Pax,1 king bed,124492.0,1037.43,Booking.com
Fortune River View Hotel Nakhon Phanom,Nakhon Phanom,8.2,Very Good,324,8.6,Deluxe River View Room,2 twin beds,153903.0,1282.53,Booking.com
Fortune Riverview Hotel Chiang Khong,Chiang Khong,8.0,Very Good,189,8.5,Superior Double or Twin Room with Pool View,Multiple bed types,113118.0,942.65,Booking.com
"Holiday Inn Resort Samui Bophut Beach, an IHG Hotel","Fisherman Village, Bophut",8.7,Excellent,173,9.2,Standard King Room with Balcony,1 king bed,245388.0,2044.9,Booking.com
Outrigger Khao Lak Beach Resort - SHA Extra Plus,"Bangsak Beach, Khao Lak",9.2,Wonderful,407,9.6,Deluxe Garden Balcony - King Bed,1 king bed,173243.0,1443.69,Booking.com
Outrigger Koh Samui Beach Resort - SHA Extra Plus,Lamai,8.5,Very Good,290,9.1,Superior Balcony -King Bed,1 king bed,225835.0,1881.96,Booking.com
Katiliya Mountain Resort And Spa,Mae Salong Nai,8.7,Excellent,161,9.0,Standard Suite,1 king bed,285952.0,2382.93,Booking.com
Grand Inter Hotel,Samut Sakhon,8.2,Very Good,464,8.4,Deluxe Double Room with Balcony,1 king bed,57084.0,475.7,Booking.com
